i m ok .,मैं ठीक हूँ ।
i m fine .,मैं ठीक हूँ ।
i m full .,मेरा पेट भर गया है ।
i m alone .,मैं अकेला हूँ  ।
i m alone .,मैं अकेली हूँ  ।
i m bored .,मैं बोर हो रहा हूँ ।
i m broke .,मेरा दीवालिया हो चुका है ।
i m tired .,मैं थक गया हूँ ।
i m coming .,मैं आ रहा हूँ ।
i m hungry !,मुझे भूख लगी है !
i m hungry !,मुझे भूख लगी है ।
he s strong .,वह ताकतवर है ।
i am at home .,मैं घर पर हूँ ।
i m a doctor .,मैं डॉक्टर हूँ ।
we are happy .,हम खुश हैं ।
i am who i am .,मैं हूँ जो हूँ ।
i m tired now .,मैं अब थक गया हूँ ।
i m very busy .,मैं बहुत व्यस्त हूँ ।
we re in town .,हम शहर में हैं ।
he is an actor .,वह अभिनेता है ।
i m an atheist .,मैं अनीश्वरवादी हूँ ।
i m an atheist .,मैं भगवान में यकीन नहीं करता ।
i m very tired .,मैं बहुत थक गया हूँ ।
you re kidding !,मज़ाक कर रहे हो !
he s my husband .,यह मेरा पति है ।
i m a good cook .,मैं अच्छा रसोइया हूँ ।
i m a good cook .,मैं अच्छा बावर्ची हूँ ।
i m lucky today .,आज मेरा नसीब अच्छा है ।
she is a beauty .,वह तो हसीना है ।
you re a person .,तुम इनसान हो ।
he is her friend .,वह उसका दोस्त है ।
i m not very old .,मैं बहुत बूढ़ी नहीं हूँ  ।
i m not very old .,मैं बहुत बूढ़ा नहीं हूँ  ।
i m really tired .,मैं बहुत थक गया हूँ ।
i m very thirsty .,मुझे बहुत प्यास लगी है ।
we re going home .,हम घर जा रहें हैं ।
we re in a hurry .,हम जल्दी में हैं ।
he is after a job .,वह किसी नौकरी के पीछे पड़ा है ।
he is walking now .,वह अब चल रहा है ।
he s already left .,वह जाचुका है ।
i m getting happy .,मैं खुश हो रहा हूँ ।
i m not a student .,मैं विद्यार्थी नहीं हूँ ।
i m not like that .,मैं वैसा नहीं हूँ ।
i m really hungry .,मुझे बहुत भूख लगी है ।
she isn t married .,वह शादीशुदा नहीं है ।
we re against war .,हम जंग के ख़िलाफ़ हैं ।
we re against war .,हम युद्ध का विरोध करते हैं ।
he is a simple man .,वह साधा आदमी है ।
he is sure to come .,वह ज़रूर आएगा ।
he isn t my cousin .,वह मेरा चचेरा भाई नहीं है ।
he isn t my cousin .,वह मेरा ममेरा भाई नहीं है ।
he s a good person .,वह अच्छा इनसान है ।
i m as tall as you .,मैं तुम्हारे जितना लम्बा हूँ ।
i m coming at once .,मैं अभी आता हूँ ।
she is very pretty .,वह बहुत सुंदर है ।
she s not a doctor .,वह डॉक्टर नहीं है ।
we re good friends .,हम अच्छे दोस्त हैं ।
he s in a bad state .,उसकी हालत बुरी है ।
i am not from india .,मैं भारत से नहीं हूँ ।
i am reading a book .,मैं किताब पढ़ रही हूँ ।
we are good friends .,हम अच्छे दोस्त हैं ।
you are at it again .,तुम फिरसे चालू हो गए ।
you re a life saver .,तुमने मेरी जान बचाली ।
he is angry with you .,वह तुमसे नाराज़ है ।
he is hard to please .,उसको खुश करना बहुत मुश्किल है ।
he is in poor health .,उसकी हालत बुरी है ।
i am counting on you .,मैं तुमपर भरोसा कर रहा हूँ ।
i am eating an apple .,मैं सेव खा रहा हूँ  ।
i am eating an apple .,मैं सेव खा रही हूँ  ।
i m allergic to fish .,मुझे मछली से एलर्जी है ।
he is a sharp shooter .,उसका निशाना बहुत अच्छा है ।
he is poor but happy .,"वह गरीब है, पर खुश है ।"
he is tall and strong .,वह लम्बा और ताकतवर है ।
i am grateful to them .,मैं उनका आभारी हूँ ।
i am tired of my work .,मैं अपने काम से थक चुका हूँ ।
she is five years old .,वह पाँच साल की है ।
she s a stubborn girl .,वह एक ज़िद्दी लड़की है ।
we are disturbing him .,हम उनको परेशान कर रहें हैं ।
i m at the airport now .,मैं अभी हवाईअड्डे में हूँ ।
i m longing to see him .,मैं उससे मिलने के लिए उत्सुक हूँ ।
i m thinking about you .,मैं तुम्हारे बारे में सोच रहा हूँ ।
she is a wealthy woman .,वह बहुत पैसेवाली औरत है ।
she is poor but happy .,"वह गरीब है, पर खुश है ।"
he is smelling the soup .,वह सूप को सूँघ रहा है ।
he is used to hard work .,उसको मेहनत करने की आदत है ।
he s always complaining .,वह हमेशा शिकायत करता रहता है  ।
she is dressed in white .,उसने सफ़ेद कपड़े पहने हुएँ हैं ।
he is very fond of music .,वह संगीत का बहुत शौकीन है ।
he s always dissatisfied .,वह कभी भी संतुष्ट नहीं होता ।
he s reading a novel now .,वह अभी एक उपन्यास पढ़ रहा है ।
i am able to drive a car .,मैं गाड़ी चला सकता हूँ ।
i m going to take a bath .,मैं नहाने जा रहा हूँ ।
she is an obstinate girl .,वह एक ज़िद्दी लड़की है ।
they re watching a movie .,वे फ़िल्म देख रहे हैं ।
you re tired aren t you ?,"तुम थक गए हो, है ना ?"
he is one of my neighbors .,वह मेरे पड़ोसियों में से एक है ।
he s sleeping like a baby .,वह बच्चे की तरह सो रहा है ।
i am able to read english .,मैं अंग्रेज़ी पढ़ सकता हूँ ।
i am able to read english .,मैं अंग्रेज़ी पढ़ सकती हूँ ।
i m busy with my homework .,मैं अपने होमवर्क में लगा हुआ हूँ ।
i m disappointed with you .,मैं तुमसे निराश हूँ ।
i m glad to see you again .,मैं तुम्हें फिरसे देखकर बहुत खुश हूँ ।
i m interested in history .,मुझे इतिहास में दिलचस्पी है ।
i m standing in the shade .,मैं छाया में खड़ा हूँ ।
i m standing in the shade .,मैं छाँओं में खड़ा हूँ ।
i m waiting for my mother .,मैं अपनी माँ का इंतेज़ार कर रहा हूँ ।
we re here to protect you .,आपकी रक्षा करना हमारा काम है ।
he s always late for class .,वह क्लास में हमेशा देर से आता है ।
i am interested in english .,मुझे अंग्रेज़ी में दिलचस्पी है ।
i m a good for nothing bum .,मैं निकम्मा हूँ ।
i m looking for an old man .,मैं एक बूढ़े आदमी की तलाश मे हूँ ।
you are always complaining .,तुम हमेशा शिकायत करते रहते हो ।
you are on the wrong train .,आप गलत ट्रेन पर हैं ।
you aren t coming are you ?,तुम नहीं आ रहे हो ना ?
you re not coming are you ?,तुम नहीं आ रहे हो ना ?
he is digging his own grave .,वह अपनी क़ब्र खोद रहा है ।
i m more beautiful than you .,मैं तुमसे ज़्यादा खूबसूरत हूँ ।
i m more beautiful than you .,मैं तुमसे ज़्यादा सुंदर हूँ ।
they are both good teachers .,वे दोनों अच्छे अध्यापक हैं ।
he is good at playing tennis .,वह टेनिस अच्छा खेलता है ।
i am pleased with the result .,मैं नतीजे से खुश हूँ ।
i m anxious about his safety .,मैं उसकी सुरक्षा के लिए परेशान हूँ ।
i m catching the train .,मैं ग्यारह बजे की ट्रेन पकड़ रहा हूँ ।
he is accustomed to hard work .,उसे मेहनत करने की आदत है ।
i am sorry if i disturbed you .,माफ़ कीजिएगा अगर मैंने आपको परेशान किया तो ।
i m thinking of changing jobs .,मैं नौकरी बदलने की सोच रही हूँ ।
i m used to working all night .,मुझे पूरी रात काम करने की आदत है ।
i m used to working all night .,मुझे रात भर काम करने की आदत है ।
she is not afraid of anything .,वह किसी भी चीज़ से नहीं डरती है ।
she is not afraid of anything .,उसे किसी भी चीज़ का डर नहीं है ।
he is anxious about the result .,वह नतीजे के लिए बेचैन है ।
i am thinking of changing jobs .,मैं नौकरी बदलने की सोच रही हूँ ।
i m afraid that tom might come .,मुझे डर है की टॉम आ जाएगा ।
i m going to meet him tomorrow .,मैं कल उससे मिलने जा रहा हूँ ।
i m nothing but a poor peasant .,मैं तो बस एक गरीब किसान ही हूँ ।
she is a woman of great beauty .,वह एक बहुत ही खूबसूरत औरत है ।
she is always dressed in black .,वह हमेशा काले कपड़े पहनती है ।
she is appearing on tv tonight .,वह आज टीवी पर आएगी ।
she s a beauty from a distance .,वह दूर से हसीना लगती है ।
we are anxious for world peace .,हम विश्व शांति के लिए तत्पर हैं ।
we re all going to die someday .,हम सब किसी दिन मरने वाले हैं ।
he is afraid of making mistakes .,वह ग़लती करने से डरता है ।
i m going to tell you something .,मैं तुम्हें कुछ बताने वाला हूँ ।
i m going to tell you something .,मैं तुम्हें कुछ बताने जा रहा हूँ ।
i am ashamed of having been lazy .,मुझे अपने आलसी होने पर शर्म आती है ।
i m looking for a small suitcase .,मैं एक छोटी अटैची को ढूँढ रहा हूँ ।
i m tired of watching television .,मैं टीवी देख देखकर थक गया हूँ ।
she is two years younger than me .,वह मुझसे दो साल छोटी है ।
he is able to speak ten languages .,वह दस भाषाएँ बोलना जानता है ।
he s always running short of cash .,उसको हमेशा पैसों की कमी होती है ।
i m going to the village tomorrow .,मैं कल गाँव जा रहा हूँ ।
she is as beautiful as her mother .,वह अपनी माँ जैसी सुंदर है ।
she is ashamed of her old clothes .,उसको अपने पुराने कपड़ो पर शर्म आती है ।
they are willing to learn english .,वे अंग्रेज़ी सीखने को तैयार हैं ।
i am his friend and will remain so .,मैं उसका दोस्त हूँ और रहूँगा ।
i am married and have two children .,मैं शादीशुदा हूँ और मेरे दो बच्चे हैं ।
i m anxious for him to return safe .,मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ ।
she is busy preparing for the trip .,वह सफ़र की तैयारी में लगी हुई है ।
they are proud of their clever son .,उन्हे अपने अकलमंद बेटे पर नाज़ है ।
we are all eager to know the truth .,हम सब सच जानने के लिए बेचैन हैं ।
i am a student at oxford university .,मैं ऑक्सफ़र्ड विश्वविद्यालय में विद्यार्थी हूँ ।
i am really pleased with my new car .,मैं अपनी नई गाड़ी से बहुत खुश हूँ ।
we are in agreement on this subject .,हम इस विषय पर सहमत हैं ।
he is less impatient than his father .,उसमें उसके पिता जितनी बेसब्री नहीं है ।
i am doing business on a large scale .,मैं बड़े पैमाने पर व्यापार कर रहा हूँ ।
i m satisfied with my current income .,मैं अपनी कमाई से संतुष्ट हूँ ।
i m satisfied with my current income .,मैं अपनी वर्तमान आमदनी से संतुष्ट हूँ ।
you re wearing your shirt inside out .,तुमने अपनी कमीज़ उलटी पहनी हुई है ।
you re wearing your shirt inside out .,तुमने अपनी टी-शर्ट उलटी पहनी हुई है ।
i am well acquainted with the subject .,मैं इस विषय से परिचित हूँ ।
i am fully convinced of your innocence .,मुझे तुम्हारे बेगुनाह होने पर पूरा यकीन है ।
i am interested in american literature .,मुझे अम्रीकी साहित्य में दिलचस्पी है ।
i am confident he will keep his promise .,मुझे भरोसा है कि वह अपना वादा निभाएगा ।
i m very happy to make your acquaintance .,मुझे आपसे मिलकर बहुत खुशी हुई ।
he is coming to see me tomorrow afternoon .,वह कल दोपहर मुझसे मिलने आ रहा है ।
you aren t supposed to play baseball here .,यहाँ बेसबॉल खेलना मना है ।
you re not supposed to play baseball here .,यहाँ बेसबॉल खेलना मना है ।
i am afraid of the situation getting worse .,मुझे परिस्तिथि के बदतर होने का डर है ।
you are not supposed to play baseball here .,यहाँ बेसबॉल खेलना मना है ।
